"age","sex","parent","disabled","uses.lib","ses","raceth","educ","rurality"
62,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
68,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
64,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
40,"female","parent","no","yes","low","Hispanic","HS to 2-year degree","rural"
61,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
NA,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
73,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
46,"male","parent","no","yes","low","Non-Hispanic White","< HS","rural"
57,"male","not parent","yes","no","low",NA,"HS to 2-year degree","rural"
80,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
61,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
38,"male","parent","no","yes","medium",NA,"HS to 2-year degree","rural"
64,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
62,"male","not parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","rural"
41,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
67,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
56,"female","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","rural"
35,"female","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
46,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
69,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
53,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
75,"male","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
77,"male","not parent","no","yes","medium","Non-Hispanic White","< HS","rural"
45,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
66,"male","not parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
65,"female","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","rural"
45,"female","not parent","no","yes","medium","Hispanic","Four-year degree or more","urban"
NA,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
62,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
51,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
43,"female","parent","no","no","medium",NA,"Four-year degree or more","urban"
67,"female","not parent","yes","yes","medium",NA,"Four-year degree or more","suburban"
82,"female","not parent","yes","no","medium","Non-Hispanic White","< HS","rural"
16,"female","not parent","no","yes","low","Non-Hispanic White","< HS","rural"
29,"male","not parent","no","no","medium","Non-Hispanic Black","Four-year degree or more","urban"
72,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
57,"male","not parent","no","yes","high","Hispanic","Four-year degree or more","suburban"
NA,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
50,"male","not parent","no","no","high","Non-Hispanic White","HS to 2-year degree","urban"
66,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
64,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
70,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
16,"male","not parent","no","no","low",NA,"< HS","urban"
55,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
81,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
25,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
23,"female","parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
23,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
72,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
45,"female","parent","yes","no","low",NA,"HS to 2-year degree","suburban"
51,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
66,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
68,"male","not parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
60,"male","parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
30,"male","not parent","no","no","medium",NA,"Four-year degree or more","rural"
51,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
31,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
39,"female","parent","no","yes","high","Hispanic","Four-year degree or more","rural"
60,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
21,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
35,"male","not parent","no","no","medium","Hispanic","Four-year degree or more","urban"
19,"male","not parent","no","yes","low","Hispanic","HS to 2-year degree","urban"
67,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
34,"female","parent","no","yes","medium",NA,"Four-year degree or more","urban"
35,"female","not parent","no","no","medium",NA,"Four-year degree or more","rural"
54,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
53,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
65,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
52,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
47,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
26,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
49,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
64,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
34,"female","parent","no","no","low","Non-Hispanic White","HS to 2-year degree","suburban"
25,"female","parent","no","yes","low","Hispanic","HS to 2-year degree","rural"
33,"male","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
59,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
82,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
67,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
39,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
34,"male","not parent","no","yes","low","Non-Hispanic White","Four-year degree or more","rural"
NA,"male","not parent","no","no","medium",NA,"HS to 2-year degree","rural"
73,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
53,"male","not parent","yes","yes","low","Non-Hispanic White","< HS","rural"
37,"male","parent","yes","no","medium","Non-Hispanic Black","HS to 2-year degree","urban"
20,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
30,"female","parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
37,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
55,"female","not parent","no","yes","low","Hispanic","< HS","urban"
NA,"female","parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","urban"
62,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
31,"male","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","urban"
19,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
26,"female","not parent","no","no","low","Non-Hispanic White","Four-year degree or more","urban"
63,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
29,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
24,"male","not parent","no","no","medium","Hispanic","Four-year degree or more","rural"
46,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
42,"male","not parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
50,"female","parent","no","yes","high","Non-Hispanic Black","Four-year degree or more","suburban"
63,"male","parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
22,"female","not parent","no","yes","high",NA,"HS to 2-year degree","suburban"
67,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","urban"
25,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
24,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
79,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
28,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
50,"female",NA,NA,"yes","medium",NA,"Four-year degree or more","rural"
20,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
58,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
40,"male","parent","no","yes","high",NA,"Four-year degree or more","suburban"
57,"male","not parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","urban"
63,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
72,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
19,"male","not parent","no","yes","medium",NA,"HS to 2-year degree","urban"
46,"female","not parent","yes","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
57,"male","not parent","no","no","low","Non-Hispanic Black","HS to 2-year degree","urban"
76,"female","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
67,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
32,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
36,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
24,"female","not parent","no","yes","medium","Hispanic","Four-year degree or more","urban"
66,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
17,"female","not parent","yes","no","medium","Non-Hispanic White","< HS","urban"
60,"male","not parent","no","no","medium","Non-Hispanic White","< HS",NA
42,"male","parent","no","yes","medium","Hispanic","Four-year degree or more","rural"
43,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
38,"male","parent","no","yes","medium",NA,"Four-year degree or more","suburban"
60,"male","not parent","no","no","high","Non-Hispanic White","HS to 2-year degree","suburban"
61,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
82,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
53,"female","parent","yes","no","medium","Hispanic","HS to 2-year degree","rural"
51,"male","not parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","suburban"
50,"male","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
62,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
62,"female","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
18,"male","not parent","no","yes","medium",NA,"< HS","urban"
60,"male","not parent","no","no","high",NA,"Four-year degree or more","rural"
51,"male","not parent","yes","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
49,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
66,"female","not parent","yes","no","medium","Hispanic","< HS","suburban"
61,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
26,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
54,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
17,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
62,"female","not parent","yes","yes","low","Non-Hispanic White","Four-year degree or more","suburban"
75,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
43,"male","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
53,"male","parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
18,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
29,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
44,"female","parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
23,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
20,"female","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","urban"
29,"female","parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
61,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
47,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
17,"male","not parent","no","no","low","Non-Hispanic White","< HS","rural"
62,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
24,"male","not parent","no","yes","medium","Hispanic","Four-year degree or more","urban"
64,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
26,"female","parent","no","yes","low","Non-Hispanic White","< HS","rural"
46,"male","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
50,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
45,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
73,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
29,"male","parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
55,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
25,"female","parent","no","no","low","Hispanic","HS to 2-year degree","rural"
54,"female","not parent","yes","yes","low","Hispanic","< HS","rural"
66,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
39,"female","parent","no","yes","high","Hispanic","Four-year degree or more","urban"
62,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
50,"female","not parent","no","yes","medium","Hispanic","HS to 2-year degree","urban"
69,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
16,"female","not parent","no","yes","medium","Hispanic","< HS","urban"
44,"female","parent","no","yes","low","Hispanic","< HS","urban"
16,"female","not parent","no","yes","medium","Non-Hispanic White","< HS","suburban"
30,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
38,"male","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
39,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
26,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
63,"male","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
77,"female","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","urban"
30,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
83,"female","not parent","yes","no","medium","Hispanic","HS to 2-year degree","rural"
38,"female","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
64,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
72,"female","not parent","yes","no","medium","Non-Hispanic Black","Four-year degree or more","rural"
62,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
33,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
30,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
74,"male","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
26,"female","not parent","no","no","medium","Non-Hispanic Black","Four-year degree or more","urban"
55,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
52,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
64,"male","not parent","yes","yes","low",NA,"HS to 2-year degree","urban"
65,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
21,"female","not parent","no","no","high","Non-Hispanic White","HS to 2-year degree","suburban"
53,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
61,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
40,"female","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
70,"female","not parent","no","no","medium","Non-Hispanic Black","Four-year degree or more","urban"
25,"male","not parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
68,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
38,"male","parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
67,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
40,"male","parent","no","no","medium","Hispanic","< HS","rural"
50,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","urban"
36,"male","not parent","no","yes","high",NA,"Four-year degree or more","rural"
16,"male","not parent","no","yes","medium",NA,"< HS","rural"
32,"female","parent","yes","yes","low","Hispanic","HS to 2-year degree","rural"
24,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
50,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
45,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
24,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
42,"male","not parent","no","no","medium","Non-Hispanic Black","Four-year degree or more","rural"
26,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
75,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
65,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
36,"female","parent","no","yes","low","Non-Hispanic White","Four-year degree or more","rural"
57,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
62,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
19,"male","not parent","no","yes","high","Non-Hispanic White","HS to 2-year degree","urban"
23,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
55,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
20,"female","not parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
62,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
70,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
40,"male","parent","yes","yes","low","Non-Hispanic White","HS to 2-year degree","urban"
79,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
23,"male","not parent","no","no","low","Hispanic","Four-year degree or more","rural"
30,"male","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
57,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
69,"male","not parent","no","no","high","Non-Hispanic White","HS to 2-year degree","suburban"
44,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
20,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
77,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
51,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
50,"female","not parent","no","no","low","Hispanic","< HS","suburban"
67,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
45,"female","parent","no","yes","high","Non-Hispanic Black","Four-year degree or more","rural"
23,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
48,"male","not parent","yes","yes","medium","Non-Hispanic White","< HS","rural"
58,"female","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","rural"
19,"male","not parent","no","yes","high",NA,"Four-year degree or more","urban"
72,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
35,"male","parent","no","no","low",NA,"< HS","rural"
67,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
60,"male","not parent","no","yes","low","Hispanic","Four-year degree or more","urban"
70,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
18,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
27,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
45,"male","not parent","no","no","medium","Hispanic","< HS","urban"
56,"female","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
54,"male","not parent","yes","no","medium","Non-Hispanic Black","HS to 2-year degree","urban"
32,"female","parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","urban"
59,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
17,"male","not parent","no","yes","medium","Non-Hispanic White","< HS","rural"
41,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
57,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
62,"male","not parent","yes","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
53,"male","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
23,"male","not parent","no","no","medium",NA,"HS to 2-year degree","rural"
27,"male","parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
19,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
35,"female","not parent","no","no","medium","Hispanic","Four-year degree or more","rural"
39,"female","parent","no","yes","high","Non-Hispanic Black","HS to 2-year degree","rural"
55,"male","not parent","yes","no","medium","Hispanic","< HS","urban"
52,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
74,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
60,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
59,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
50,"male","parent","no","no","high","Non-Hispanic White","Four-year degree or more","rural"
62,"female","not parent","yes","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
16,"male","not parent","no","yes","medium","Non-Hispanic White","< HS","rural"
18,"male","parent","no","no","low","Non-Hispanic Black","< HS","urban"
17,"male","not parent","no","yes","high","Non-Hispanic White","< HS","suburban"
43,"male","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
63,"male","not parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
51,"male","not parent","yes","no","low","Non-Hispanic White","< HS","rural"
58,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
36,"male","parent","no","no","medium","Non-Hispanic White","< HS","rural"
52,"female","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
67,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
58,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
51,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
NA,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
25,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
64,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
74,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
24,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
40,"male","parent","no","yes","medium","Hispanic","Four-year degree or more","suburban"
54,"female","not parent","no","yes","medium","Hispanic","< HS","suburban"
42,"female","not parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","urban"
22,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
70,"male","not parent","no","yes","medium",NA,"Four-year degree or more","suburban"
33,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
25,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
46,"male","parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
64,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
18,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
26,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
19,"female","not parent","no","yes","high","Hispanic","HS to 2-year degree","rural"
54,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
18,"male","not parent","no","yes","medium","Non-Hispanic White","< HS","suburban"
60,"male","not parent","no","no","high",NA,"Four-year degree or more","rural"
42,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
32,"female","not parent","no","no","medium","Hispanic","< HS","rural"
39,"female","parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
40,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
66,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
56,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
80,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
28,"female","parent","no","no","medium",NA,"< HS","rural"
88,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
28,"male","parent","no","yes","low","Hispanic","< HS","urban"
37,"male","parent","no","no","medium","Hispanic","HS to 2-year degree","urban"
50,"male","parent","no","no","low","Non-Hispanic Black","HS to 2-year degree","urban"
17,"female","not parent","yes","yes","medium","Hispanic","< HS","urban"
48,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
27,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
68,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
40,"male","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
22,"female","parent","no","no","low","Hispanic","HS to 2-year degree","urban"
NA,"female",NA,NA,"yes","medium",NA,"Four-year degree or more","rural"
17,"male","parent","no","no","medium","Hispanic","< HS","suburban"
NA,"male",NA,"no","yes","medium",NA,"Four-year degree or more","urban"
23,"female","not parent","no","yes","low","Non-Hispanic White","Four-year degree or more","urban"
57,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
32,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"female","not parent","yes","no","medium","Non-Hispanic Black","HS to 2-year degree","urban"
69,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
50,"male","parent","no","no","high","Non-Hispanic White","HS to 2-year degree","rural"
34,"male","not parent","yes","yes","medium","Non-Hispanic White","< HS","rural"
24,"female","not parent","no","no","medium",NA,"Four-year degree or more","rural"
38,"male","not parent","yes","yes","low",NA,"< HS","suburban"
51,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
61,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
35,"male","parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
64,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
24,"male","not parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","rural"
65,"male","parent","no","no","medium",NA,"HS to 2-year degree","rural"
23,"male","parent","no","no","low","Hispanic","< HS","urban"
30,"female","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
42,"male","parent","no","yes","high",NA,"Four-year degree or more","suburban"
44,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
72,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
69,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
28,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
46,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
47,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
24,"female","parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
40,"male","not parent","no","no","high","Non-Hispanic Black","HS to 2-year degree","rural"
31,"male","parent","no","yes","low",NA,"HS to 2-year degree","rural"
61,"male","not parent","yes","no","low","Non-Hispanic Black","HS to 2-year degree","urban"
46,"female","not parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","rural"
21,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
51,"male","not parent","no","no","high","Hispanic","Four-year degree or more","suburban"
18,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
41,"female","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
60,"female","not parent","no","no","medium","Hispanic","HS to 2-year degree","suburban"
25,"male","not parent","no","yes","medium","Hispanic","HS to 2-year degree","suburban"
